gene	chromosome	tss
LRP10	chr14	23340949
SCARNA8	chr9	19063784
PDCD1LG2	chr9	5510531
BTBD1	chr15	83736004
MIR4473	chr9	20411236
MIR4474	chr9	20502340
GSTA3	chr6	52774496
FOCAD-AS1	chr9	20684749
SNORA30B	chr9	20786926
DUPD1	chr10	76818341
IFNA22P	chr9	21278562
ATP8B4	chr15	50411430
CDKN2A-DT	chr9	21967138
EIF4EBP1	chr8	37888052
OR6B3	chr2	240985489
STRC	chr15	43910998
FAM149B1	chr10	74927877
TECTB	chr10	114043158
LINC01239	chr9	22646199
LOC101929563	chr9	23672397
P4HTM	chr3	49027674
LINC01241	chr9	25780054
IFT74-AS1	chr9	26956305
EIF1B	chr3	40351198
LINC00032	chr9	27282791
FUCA2	chr6	143832857
LINC01242	chr9	30408452
LINC01243	chr9	31381488
LOC102723360	chr7_gl000195_random	66040
DDX42	chr17	61851549
DSCC1	chr8	120868134
IL36RN	chr2	113816775
B4GALT1-AS1	chr9	33167857
SIX6	chr14	60975864
BRD3	chr9	136933148
KIF20A	chr5	137514801
AGAP6	chr10	51748078
MIR6851	chr9	33467933
SUGT1P1	chr9	33511164
PTENP1-AS	chr9	33677266
LINC01251	chr9	33738414
SNORD121B	chr9	33934373
SNORD121A	chr9	33952852
TLCD2	chr17	1613671
RETNLB	chr3	108476130
CNTFR-AS1	chr9	34568010
SEPTIN14	chr7	55930445
FAM205BP	chr9	34838583
DNAJB5-DT	chr9	34989376
FA2H	chr16	74808718
PPM1D	chr17	58677554
ATP8B5P	chr9	35406752
MIR4667	chr9	35608091
LOC101926948	chr9	35646267
TBX15	chr1	119530966
MIR129-1	chr7	127847925
MIR541	chr14	101530832
MIR6853	chr9	35732919
CYP2E1	chr10	135340867
CDKN2AIP	chr4	184365789
NCKAP1	chr2	183903185
TIGAR	chr12	4430379
C9orf163	chr9	139377462
MIR4475	chr9	36823596
MIR4540	chr9	36864305
MIR4476	chr9	36893528
TOMM5	chr9	37592594
PRAMEF2	chr1	12916941
GTF3C6	chr6	111279909
SLC25A51	chr9	37904124
FAM95C	chr9	38545369
FAM74A1	chr9	65494240
ZNF658B	chr9	41609544
HSBP1L1	chr18	77724643
LOC105379450	chr9	40683819
FAM74A3	chr9	40715524
FAM74A6	chr9	65494240
GLIDR	chr9	41955177
FGF7P3	chr9	42019584
LOC102724238	chr9	46688171
LOC554249	chr9	46688167
FAM95B1	chr9	69476017
LOC105379252	chr9	69476017
GXYLT1P3	chr9	43008397
LOC101928381	chr9	70374924
LOC101929583	chr9	69652152
LOC101928195	chr9	69651502
LOC286297	chr9	67032072
AQP7P3	chr9	67289251
MTMR4	chr17	56595241
FKBP15	chr9	115983557
LOC642929	chr9	43145484
FAM74A7	chr9	43615527
PRAMEF20	chr1	13736907
XLOC_007697	chr9	44182719
LOC101927827	chr9	44384585
LOC103908605	chr9	46843669
FAM27C	chr9	44990236
LOC105379807	chr9	67785634
LOC102723709	chr9	67779123
LOC107984035	chr9	45441885
FAM27E2	chr9	46387373
FAM242F	chr9	46168270
FGF7P6	chr9	46687557
LINC01189	chr9	46763791
LOC103908604	chr9	46843863
FAM74A4	chr9	65494386
LOC100132249	chr9	66494170
PTGER4P2-CDK2AP2P2	chr9	66496469
LOC728673	chr9	66553200
AQP7P1	chr9	67289492
LOC102724580	chr9	67290451
BMS1P14	chr9	67340165
FAM27E3	chr9	67786625
FAM27B	chr9	67794189
LINC00537	chr9	68408675
MIR4477A	chr9	68415388
MIR4477B	chr9	68415308
FRG1JP	chr9	68455368
FRG1HP	chr9	69065490
PGM5P2	chr9	69147854
LOC440896	chr9	69198043
TEX261	chr2	71222003
ANKRD20A4-ANKRD20A20P	chr9	69381812
LOC100133920	chr9	69651361
COX15	chr10	101491884
LINC01506	chr9	71161518
LOC101927069	chr9	71590757
C9orf135-DT	chr9	72435655
CLYBL	chr13	100258944
HOXD12	chr2	176964523
MAMDC2	chr9	72658497
RHOB	chr2	20646835
MAMDC2-AS1	chr9	72790804
SMC5-AS1	chr9	72873790
P2RX3	chr11	57105826
SLC4A5	chr2	74542152
NEUROD4	chr12	55413758
WDR19	chr4	39184149
TRIM58	chr1	248020489
POLR1A	chr2	86333009
SELENOK	chr3	53925886
OR1L6	chr9	125512127
CLDN6	chr16	3068184
SRPRB	chr3	133524659
C4orf17	chr4	100432178
ITGA6-AS1	chr2	173330750
SPIN4	chrX	62571211
PHF3	chr6	64356431
LINC01504	chr9	74920352
LINC01474	chr9	75489025
LOC101927358	chr9	76986447
RORB-AS1	chr9	77113469
CARNMT1-AS1	chr9	77567881
MIR33A	chr22	42296948
PLEKHH2	chr2	43864399
RPSAP9	chr9	79013515
VPS13A-AS1	chr9	79792833
GASK1A	chr3	43020803
DEFB113	chr6	49937338
MTOR	chr1	11322608
LGALSL	chr2	64681296
TIMM21	chr18	71815758
GNA14-AS1	chr9	80062565
TNK1	chr17	7284408
AIRE	chr21	45705759
PAEP	chr9	138453602
LOC101927450	chr9	81760581
CBARP	chr19	1238004
SCML4	chr6	108145517
LINC01507	chr9	82589938
LOC101927502	chr9	84304628
SPATA31D5P	chr9	84528352
VSIG8	chr1	159832447
LOC105376114	chr9	86323246
NOBOX	chr7	144107320
KCNK3	chr2	26915590
LOC102724159	chr21	45527280
C9orf62	chr9	138235095
LOC101927575	chr9	86678358
MIR4261	chr2	10332797
MIR4306	chr13	100295313
MIR4316	chr17	75393136
MIR4295	chr10	114393929
MIR3188	chr19	18392887
MIR3129	chr2	189997837
CCDC61	chr19	46498725
IK	chr5	140027414
LOC389765	chr9	88420917
LOC101927623	chr9	88742455
C9orf153	chr9	88874572
GAS1RR	chr9	89563613
LOC440173	chr9	89657041
LOC494127	chr9	89700140
TRIM49B	chr11	49053152
PLD1	chr3	171528273
OR4C3	chr11	48346472
CTSL3P	chr9	90387830
CTSLP8	chr9	90459660
LOC392364	chr9	90473971
LOC497256	chr9	90554175
FAM49A	chr2	16847102
LOC102724156	chr9	90692815
MIR4289	chr9	91360820
MIR3153	chr9	91927140
TUT4	chr1	53018762
LELP1	chr1	153175906
TRIM43B	chr2	96150479
DOCK6	chr19	11373200
UNQ6494	chr9	92254698
LOC101927847	chr9	92731698
MIR4290HG	chr9	92803781
MIR4290	chr9	92785817
LINC01508	chr9	93195771
LINC01501	chr9	93345028
LOC100129316	chr9	93837414
LINC00484	chr9	93881344
ECSCR	chr5	138842328
MIR3910-1	chr9	94398533
MIR3910-2	chr9	94398627
LOC100128076	chr9	94895116
LINC00475	chr9	94903749
MIR3651	chr9	95054829
SNORA84	chr9	95054875
OTUD6A	chrX	69282307
PPP4R3C	chrX	27481458
MIR4670	chr9	95290340
LOC100128361	chr9	95380332
LOC101929748	chr9	95570369
ANKRD19P	chr9	95571893
LOC642943	chr9	95644849
LOC101927954	chr9	95777226
CCDC74B	chr2	130902707
RGPD2	chr2	87140935
B3GNT8	chr19	41934635
KRTAP20-4	chr21	31992946
MIR4291	chr9	96581639
BARX1-DT	chr9	96718116
LINC02603	chr9	97021593
LOC100132077	chr9	97094758
PCAT7	chr9	97317327
NDUFS6	chr5	1801521
MIR2278	chr9	97572244
LOC101928119	chr9	97707836
MIR6081	chr9	97827632
MIR3074	chr9	97848376
ZCCHC2	chr18	60190258
NDUFA1	chrX	119005795
USP17L20	chr4	9269345
HAGLROS	chr2	177042894
LOC100507346	chr9	98225891
LINC00476	chr9	98638259
LINC00092	chr9	98784093
LOC158435	chr9	98828121
LOC158434	chr9	98878693
HSD17B3-AS1	chr9	99008745
SUB1	chr5	32585663
LOC441455	chr9	99488103
LOC100132781	chr9	99631182
PTMAP11	chr9	99671357
GAS2L1P2	chr9	99844227
ANKRD18CP	chr9	100001024
SUGT1P4-STRA6LP	chr9	100000708
SUGT1P4-STRA6LP-CCDC180	chr9	100000708
BARX2	chr11	129245743
CAMK1	chr3	9811631
MIR1302-8	chr9	100125963
LOC286359	chr9	100158973
CFHR2	chr1	196912868
BCL3	chr19	45251965
LINC01391	chr3	138662862
LINC01410	chr9	66457289
PTCSC2	chr9	100615362
MIR6854	chr9	100991499
C7orf26	chr7	6629652
NAMA	chr9	102137539
LOC101928438	chr9	102582171
STX17-AS1	chr9	102668883
MED1	chr17	37607516
MMP20	chr11	102496063
LOC645202	chr15	28603226
PEX16	chr11	45939674
MSANTD3-TMEFF1	chr9	103204188
H2AC8	chr6	26217148
TMEM246-AS1	chr9	104231604
ANKS1A	chr6	34857032
LINC00587	chr9	105281919
LINC01492	chr9	106087315
LOC101928523	chr9	106761990
SMC2-AS1	chr9	106854755
HAMP	chr19	35773431
LOC105376194	chr9	107032510
KRT86	chr12	52668429
LCN2	chr9	130911732
YARS2	chr12	32908831
RALGAPA1P1	chr9	108282105
ARMCX6	chrX	100872990
MIR8081	chr9	109363209
LINC01505	chr9	109378339
LOC340512	chr9	109865269
LINC01509	chr9	110228866
ZNRF2	chr7	30324213
ERG28	chr14	76127219
OR6V1	chr7	142749438
HIBADH	chr7	27702502
RNF182	chr6	13925098
MIR3927	chr9	112273825
CIP2A	chr3	108308285
MTSS2	chr16	70719956
OR14C36	chr1	248512077
TXNDC8	chr9	113100143
ARFGEF3	chr6	138483076
ST3GAL2	chr16	70473003
ANKMY2	chr7	16685379
PDXP	chr22	38054730
FICD	chr12	108909054
MIR7702	chr9	114033494
LRRC37A5P	chr9	114375833
DNAJC25	chr9	114393614
SMG1	chr16	18937726
LNX2	chr13	28194666
MIR4668	chr9	114694380
PARP1	chr1	226595794
GTF2B	chr1	89357250
TMEFF1	chr9	103235431
KIAA1958	chr9	115249107
FAM225B	chr9	115873957
FAM225A	chr9	115875176
CCL22	chr16	57392695
ZDHHC8P1	chr22	23744799
LINC00858	chr10	86039736
SAMD12-AS1	chr8	119633240
TUSC7	chr3	116428635
TCEAL2	chrX	101380651
CENPH	chr5	68485410
TUBA3D	chr2	132233692
C1orf52	chr1	85725345
RCVRN	chr17	9808588
GID8	chr20	61569499
RABEP2	chr16	28936559
CRYGA	chr2	209028313
ATP11B	chr3	182511292
ZNF592	chr15	85291823
TTC33	chr5	40756063
MRM1	chr17	34958012
PLA2G4B	chr15	42131011
GLT6D1	chr9	138531386
LOC101928748	chr9	117900688
LOC101928775	chr9	118506518
LINC00474	chr9	118687486
PAPPA-AS1	chr9	119162885
ASTN2-AS1	chr9	119266562
SNORA70C	chr9	119943480
LOC101928797	chr9	120410884
LINC02578	chr9	121441949
LINC01613	chr9	122697338
SMCO4	chr11	93276557
B3GNT10	chr9	123555774
CUTALP	chr9	123608960
SUDS3	chr12	118814360
C5-OT1	chr9	123715109
CLDN3	chr7	73184600
COX10	chr17	13972821
TMEM275	chr1	47001187
CENPVL2	chrX	51453608
CENPVL1	chrX	51453608
MTLN	chr2	111002997
GSN-AS1	chr9	124047808
SYCN	chr19	39694903
GGTA1P	chr9	124262306
BAZ1B	chr7	72936623
MIR4478	chr9	124882446
MORN5	chr9	124922187
LUZP4	chrX	114524281
NDUFV1	chr11	67374407
ALG12	chr22	50312086
ZNF598	chr16	2059822
PTF1A	chr10	23481241
NAA35	chr9	88556057
ZNF608	chr5	124080805
SNORD90	chr9	125642598
MIR600HG	chr9	125877756
MIR7150	chr9	126247901
LOC100505588	chr9	126771675
LOC613206	chr9	127023447
LOC100129034	chr9	127115752
MIR181A2HG	chr9	127420715
WDR38	chr9	127615739
HTRA1	chr10	124221069
PRSS8	chr16	31147048
NT5C1A	chr1	40137710
LOC105376271	chr9	127962675
ZNF766	chr19	52772840
LRRC38	chr1	13840498
ETFRF1	chr12	25348171
PM20D2	chr6	89855774
CLVS2	chr6	123317380
MEG8	chr14	101355986
H2AC2P	chr6	25732661
DEFB135	chr8	11839830
LOC51145	chr9	128508208
LOC101929116	chr9	129038194
SNORA65	chr9	130210916
KBTBD2	chr7	32931372
DSG1	chr18	28898123
DSG2	chr18	29078140
GABRR2	chr6	90025018
MIR3911	chr9	130453074
CCNA2	chr4	122745038
CASQ1	chr1	160160365
MIR3960	chr9	130548112
MIR30B	chr8	135812850
MIRLET7G	chr3	52302377
LOC102723566	chr9	130578345
MIR4672	chr9	130631774
GUCY1A2	chr11	106889202
PLEKHA3	chr2	179345184
SLC25A25-AS1	chr9	130881013
PTGES2-AS1	chr9	130890808
RGPD3	chr2	107084801
C1GALT1C1	chrX	119764005
MIR3154	chr9	131007309
CENPVL3	chrX	51361770
TRAK2	chr2	202316181
MIR128-2	chr3	35785968
MIR374A	chrX	73507192
MIR219B	chr9	131154900
PITHD1	chr1	24104908
BCAS2	chr1	115124236
RND2	chr17	41177248
CCDC6	chr10	61666314
DDX1	chr2	15731992
HUNK	chr21	33245333
HSF2BP	chr21	45079369
TYK2	chr19	10491248
TFCP2L1	chr2	122042778
SBNO1	chr12	123849394
SHC2	chr19	460996
RGS16	chr1	182573524
RGS12	chr4	3371925
PARS2	chr1	55230196
LOC100506100	chr9	131486741
TIMP4	chr3	12200412
TIMP2	chr17	76921469
SCGB1D4	chr11	62066547
TNP2	chr16	11363182
TFF2	chr21	43771103
NTN1	chr17	8924827
ZNF614	chr19	52531632
LOC101929331	chr9	132044695
LINC01503	chr9	132099202
IFNA14	chr9	21240004
PRRX2-AS1	chr9	132480985
SERPIND1	chr22	21128401
HBG2	chr11	5276011
MIR6855	chr9	132631884
RNFT2	chr12	117176096
LOC100272217	chr9	133454881
MIR6856	chr9	133501684
TRUB1	chr10	116697954
C16orf71	chr16	4784538
BBS12	chr4	123653857
TEX44	chr2	232457575
CGB7	chr19	49558997
S100A14	chr1	153588801
CLK4	chr5	178054051
SNORD62A	chr9	134365873
SNORD62B	chr9	134365873
CCDC17	chr1	46089726
OTUD6B-AS1	chr8	92082417
FEM1A	chr19	4791746
ACTL8	chr1	18081828
CTTNBP2NL	chr1	112938836
WWC2	chr4	184020410
KMT2E	chr7	104654652
BAIAP2L2	chr22	38506691
MTPN	chr7	135662107
GAL	chr11	68452012
MRPS7	chr17	73257960
TAS1R3	chr1	1266660
MIR548AW	chr9	135821094
DAPL1	chr2	159651829
LINC00309	chr2	64432619
MIR6877	chr9	135927383
CELP	chr9	135957926
F11R	chr1	160990942
INO80B	chr2	74682214
SNORD24	chr9	136216251
SNORD36B	chr9	136216949
SNORD36A	chr9	136217311
SNORD36C	chr9	136217701
PGBD4	chr15	34394284
DHRS7B	chr17	21069483
PGRMC2	chr4	129208968
TNFSF15	chr9	117554810
DBH-AS1	chr9	136522530
LOC100130548	chr9	136919412
RNU6ATAC	chr9	137029686
LINC02247	chr9	137187243
MIR4669	chr9	137271257
COL5A1-AS1	chr9	137544689
LOC101448202	chr9	137764464
MIR3689A	chr9	137742490
MIR3689C	chr9	137741215
MIR3689D1	chr9	137741528
MIR3689B	chr9	137742118
MIR3689D2	chr9	137742202
MIR3689E	chr9	137742487
MIR3689F	chr9	137742653
LOC401557	chr9	138073455
PPP1R26-AS1	chr9	138364095
LOC101928525	chr9	138398293
RPL30	chr8	99057773
LINC01502	chr9	138466771
BPIFB2	chr20	31595510
OXCT2	chr1	40237020
CHGB	chr20	5892156
PITX3	chr10	104001269
DKFZP434A062	chr9	139221779
CAV2	chr7	116139792
PLA2G2F	chr1	20465816
MIR4673	chr9	139414078
MIR4674	chr9	139440711
NALT1	chr9	139442294
LINC01451	chr9	139511633
HSPC324	chr9	139554873
RNA28SN5	chrUn_gl000220	113348
COL26A1	chr7	101006156
SNORA17B	chr9	139620689
SNORA17A	chr9	139621331
LOC100128593	chr9	139640613
MIR6722	chr9	139641422
GDPD4	chr11	77012711
CCDC183-AS1	chr9	139703300
MIR4292	chr9	139725409
VGLL1	chrX	135614374
ETV3L	chr1	157069600
CREG2	chr2	102003965
PPARGC1B	chr5	149109873
LRPPRC	chr2	44223128
MIR4479	chr9	139781185
PMFBP1	chr16	72206349
LCE1B	chr1	152784447
LCE1A	chr1	152799949
CTXN1	chr19	7991020
SLC5A5	chr19	17982754
MAN1B1-DT	chr9	139981269
FDCSP	chr4	71091841
CLDND2	chr19	51872257
ANKRD13B	chr17	27920150
MIR3621	chr9	140063722
KRTAP9-6	chr17	39421630
PTGS2	chr1	186649555
SMIM11A	chr21	35747749
STPG3-AS1	chr9	140147949
MIR7114	chr9	140344538
MAN1A2	chr1	117910071
SEL1L	chr14	82000205
HDAC1	chr1	32757684
GUCY2C	chr12	14849533
ARRDC1-AS1	chr9	140513347
EML5	chr14	89259297
LOC651337	chr9	140682858
MIR602	chr9	140732871
LOC100133077	chr9	140787022
MAP6D1	chr3	183543365
WFDC6	chr20	44168121
COG7	chr16	23464510
EIF4E1B	chr5	176057676
LOC105376331	chr9	140841512
LOC101928786	chr9	140939523
TUBBP5	chr9	141044565
LOC101928932	chr9	141093903
FLJ43315	chrUn_gl000211	48503
FAM230C	chrUn_gl000212	24049
LOC100233156	chrUn_gl000218	97454
LOC389834	chrUn_gl000218	55049
LOC105379477	chrUn_gl000219	45397
LOC283788	chrUn_gl000219	99642
FRG1EP	chrUn_gl000219	99632
MIR6724-2	chrUn_gl000220	148704
MIR6724-3	chrUn_gl000220	148704
MIR6724-4	chrUn_gl000220	148704
RNA45SN1	chrUn_gl000220	105424
RNA45SN4	chrUn_gl000220	105424
RNA45SN2	chrUn_gl000220	105424
RNA45SN3	chrUn_gl000220	105424
RNA18SN1	chrUn_gl000220	153050
RNA18SN4	chrUn_gl000220	153050
RNA18SN2	chrUn_gl000220	153050
RNA18SN3	chrUn_gl000220	153050
RNA5-8SN1	chrUn_gl000220	155996
RNA5-8SN2	chrUn_gl000220	155996
RNA5-8SN3	chrUn_gl000220	155996
RNA5-8SN4	chrUn_gl000220	155997
RNA28SN1	chrUn_gl000220	113348
RNA28SN4	chrUn_gl000220	113348
RNA28SN2	chrUn_gl000220	113348
RNA28SN3	chrUn_gl000220	113348
PPP1R2B	chr5	156277306
ERCC4	chr16	14014011
CABS1	chr4	71200698
OMP	chr11	76813886
LOC100505874	chrUn_gl000224	102503
GOLGA8K	chr15	32695493
FRG1CP	chrUn_gl000241	36767
FRG1FP	chrUn_gl000241	36957
SLC25A53	chrX	103401690
LINC00685	chrY	231385
ERO1B	chr1	236445258
MIR3690	chrY	1362811
LINC00106	chrY	1465918
ASMTL-AS1	chrY	1469424
MIR6089	chrY	2477232
CD99P1	chrY	2477306
LINC00102	chrY	2483388
XGY2	chrY	2620337
ARSD-AS1	chrX	2822945
CTDSPL	chr3	37903371
LINC01546	chrX	3189861
SNORA48B	chrX	3450292
PRKX-AS1	chrX	3577528
LOC389906	chrX	3761935
FAM239B	chrX	3838783
FAM239A	chrX	3800392
LOC101928201	chrX	4551613
LOC105373156	chrX	6144399
MIR4770	chrX	6302004
MIR4767	chrX	7065901
MIR651	chrX	8095006
VN1R3	chr16	31820174
SLC25A20	chr3	48936315
TCP11L2	chr12	106696511
ADAT2	chr6	143771832
MIR548AX	chrX	11336806
MTAP	chr9	21802635
TLR8-AS1	chrX	12961419
LINC02154	chrX	13321571
GS1-600G8.3	chrX	13328771
LINC01203	chrX	13353360
MIR6086	chrX	13608411
KCP	chr7	128550763
UBE2E4P	chrX	14262387
RFPL4AL1	chr19	56280484
LOC114483834	chr7	150924291
C17orf50	chr17	34087906
HEATR5B	chr2	37311515
SOX11	chr2	5832516
PIR-FIGF	chrX	15509432
ZBTB6	chr9	125675602
LPAR4	chrX	78003217
GS1-594A7.3	chrX	15621004
INE2	chrX	15805712
ZSCAN4	chr19	58180303
GGN	chr19	38878674
MAP3K5	chr6	137113615
MIR548AM	chrX	16645208
MIR4768	chrX	17444004
LOC101928389	chrX	17546558
NHS-AS1	chrX	17577248
LINC01456	chrX	18122764
H2AC12	chr6	27114861
BEND2	chrX	18239006
TMEM225B	chr7	99195890
PPEF1-AS1	chrX	18710806
H2AW	chr1	228645560
PHKA2-AS1	chrX	18908414
ITGA10	chr1	145524891
RUNDC3A	chr17	42385969
PEX3	chr6	143771942
ANKRD60	chr20	56803709
KRT40	chr17	39143253
OR8B3	chr11	124267247
OR2T6	chr1	248550910
TMIE	chr3	46742882
RFPL4B	chr6	112668532
PCDHB14	chr5	140601898
PCDHB13	chr5	140593491
MED25	chr19	50321536
TEX19	chr17	80317123
FAM174B	chr15	93199005
LOC729609	chrX	20007897
EIF1AX-AS1	chrX	20158086
PP2D1	chr3	20053756
PHEX-AS1	chrX	22191100
PTCHD1-AS	chrX	23311263
ZFX-AS1	chrX	24167771
CD164L2	chr1	27709823
PCYT1B-AS1	chrX	24668190
SCARNA23	chrX	24762558
VENTXP1	chrX	26576454
MIR6134	chrX	28513780
MIR4666B	chrX	29592395
TAB3-AS1	chrX	30852740
SLC22A1	chr6	160542863
LGALS4	chr19	39303585
SLC22A4	chr5	131630087
S100A3	chr1	153521734
CNTN3	chr3	74570291
NEUROG2	chr4	113437336
TAS2R7	chr12	10955226
TAS2R13	chr12	11062161
TAS2R8	chr12	10959579
HOXB9	chr17	46703720
TAS2R9	chr12	10962767
HOXB8	chr17	46692654
MS4A5	chr11	60197045
RCAN2	chr6	46293629
EDIL3	chr5	83680698
MIR3915	chrX	32601869
MIR548F5	chrX	32659676
LOC101928627	chrX	36458375
ZNF705A	chr12	8325150
CDK14	chr7	90225635
TNFSF18	chr1	173020103
PRKCH	chr14	61788161
MIR548AJ2	chrX	37883239
SMPD5	chr8	145104299
POM121C	chr7	75115576
MID1IP1-AS1	chrX	38663136
LINC01281	chrX	39186616
LINC01282	chrX	39251028
MIR3937	chrX	39520470
MIR1587	chrX	39696815
LOC101927476	chrX	40122170
LOC100132831	chrX	40692449
LINC02601	chrX	41134992
MIR939	chr8	145619445
MIR486-2	chr8	41517962
MIR6852	chr9	35710738
MIR5588	chr3	184971060
CELSR3	chr3	48700319
PINCR	chrX	43036243
NDP-AS1	chrX	43808978
FAM3B	chr21	42688728
LINC00210	chr1	218066242
MIR133B	chr6	52013721
LINC01204	chrX	45364633
LOC392452	chrX	45590577
LINC02595	chrX	45710920
LINC01186	chrX	46187109
RAD21L1	chr20	1206764
ZNF674-AS1	chrX	46404925
LINC01545	chrX	46759139
ANKH	chr5	14871887
TTC23L	chr5	34839269
ZNF469	chr16	88449367
INE1	chrX	47064247
TMEM225	chr11	123756377
SNORA11C	chrX	47248049
CELSR1	chr22	46933517
LINC01560	chrX	47342115
MIR4769	chrX	47446828
UXT-AS1	chrX	47518232
CXXC1P1	chrX	47566590
CLPTM1L	chr5	1345214
ZNF630-AS1	chrX	47915699
SSX6P	chrX	47967367
ZFPM1	chr16	88519688
SSX9P	chrX	48165614
CC2D1A	chr19	14017014
ACTR5	chr20	37377103
LOC101927635	chrX	48367227
COL20A1	chr20	61924538
LINP1	chr10	6779344
LINC00659	chr20	61408208
DUS4L-BCAP29	chr7	107204416
MIR137HG	chr1	98515249
GPR27	chr3	71803006
CALML3	chr10	5566924
CARNMT1	chr9	77643209
MED11	chr17	4634723
SYP-AS1	chrX	49055298
FLICR	chrX	49122937
TBC1D3H	chr17	34591996
CCDC192	chr5	127039081
USP18	chr22	18632937
MIR655	chr14	101515887
USP27X-AS1	chrX	49643959
MEIOC	chr17	42733836
MIR500B	chrX	49775280
MIR660	chrX	49777849
RGS10	chr10	121302231
SH3BGRL	chrX	80457601
RGS1	chr1	192544903
PSKH1	chr16	67927157
LINC01496	chrX	51250293
ITPR2	chr12	26986127
NBPF8	chr1	144593688
EXOC3-AS1	chr5	443275
BLACAT1	chr1	205425214
WWC2-AS1	chr4	184161787
LINC01537	chr11	72281700
APOA1-AS	chr11	116706833
TUBB2A	chr6	3157778
ACTB	chr7	5570232
SNORA11D	chrX	51933718
SNORA11E	chrX	51933718
PDC-AS1	chr1	186404293
PHC2-AS1	chr1	33815953
MIR8088	chrX	52079784
XAGE1B	chrX	52546197
SSX8P	chrX	52651985
MT3	chr16	56623440
ABHD8	chr19	17414234
FAM156A	chrX	53024651
KANTR	chrX	53123339
OR8G2P	chr11	124095344
MIR6895	chrX	53224670
MIR6894	chrX	53228127
HCN2	chr19	589881
C11orf53	chr11	111116450
KLRG2	chr7	139168419
LRIT3	chr4	110769263
ATP13A5	chr3	193096542
MIR6857	chrX	53432697
ACTBL2	chr5	56778638
LSM11	chr5	157170720
APOA4	chr11	116694020
APOC2	chr19	45449308
RASSF9	chr12	86230187
TACR3	chr4	104641142
LGALS16	chr19	40146553
SPESP1	chr15	69222864
SNORA11	chrX	54840803
NABP1	chr2	192542862
SNORA11G	chrX	54953738
SNORA109	chrX	55210040
PABPC1L2B	chrX	72223352
LOC100421746	chrX	55306521
MIR4536-1	chrX	55478015
MIR4536-2	chrX	55477928
LINC01857	chr2	208527108
LNCTAM34A	chr1	9242263
UQCRBP1	chrX	56764017
LINC01278	chrX	62780975
ARHGEF9-IT1	chrX	62891382
GPC1	chr2	241375080
GDPD2	chrX	69642881
FRMD8P1	chrX	64772301
OR51B4	chr11	5323176
PSMD7	chr16	74330712
PSMB7	chr9	127177721
UTP18	chr17	49337907
SAMM50	chr22	44351322
FHAD1-AS1	chr1	15670379
MAPRE3-AS1	chr2	27237456
OCM	chr7	5920429
LINC00269	chrX	68399400
BAGE3	chr21	11098925
DLG3-AS1	chrX	69675844
IQCF6	chr3	51813253
SNORD3E	chrX	70066145
NDUFA3	chr19	54606163
UQCC3	chr11	62439145
ETAA1	chr2	67624465
LRRC46	chr17	45909036
FLVCR1	chr1	213031617
DCLK3	chr3	36781352
B3GNT9	chr16	67184901
AASS	chr7	121784303
CEBPZ	chr2	37458739
DNAL4	chr22	39190148
PLP2	chrX	49028245
PLN	chr6	118869459
PLGLB2	chr2	88047606
GPC6	chr13	93879060
OR4D5	chr11	123810324
OR13C3	chr9	107299094
OR5W2	chr11	55682058
OR7G3	chr19	9237626
OR2W3	chr1	248058889
OR13C9	chr9	107380485
OR4C13	chr11	49973943
OR5A2	chr11	59190426
XKRY2	chrY	20297335
OR8B4	chr11	124294767
OR8J1	chr11	56127691
OR8B12	chr11	124413550
OR8A1	chr11	124439893
OR7G2	chr19	9213982
OR7G1	chr19	9226439
INGX	chrX	70712299
KRTAP5-8	chr11	71249071
LOC100129291	chrX	70886718
LOC100132741	chrX	71004228
LINC00891	chrX	71004228
RPS26P11	chrX	71264259
GRWD1	chr19	48949240
SCRN2	chr17	45918639
PDCL3P4	chr3	101431278
PTPRVP	chr1	202137179
DLEU2L	chr1	64014651
PIPSL	chr10	95721672
PHKA1-AS1	chrX	71908799
FAM226B	chrX	72163589
FAM226A	chrX	72163589
LOC101928120	chr1	154933947
PABPC1L2B-AS1	chrX	72300006
MAP2K4P1	chrX	72782921
TSIX	chrX	73012040
JPX	chrX	73164159
MIR374C	chrX	73438384
RNF144B	chr6	18387581
TPSD1	chr16	1306070
MBOAT4	chr8	30002181
TTC3P1	chrX	74962914
VSTM2L	chr20	36531529
XK	chrX	37545044
MIR325HG	chrX	76234957
IFNA1	chr9	21440438
ROS1	chr6	117747018
MANF	chr3	51422722
KIF2B	chr17	51900288
MFSD14B	chr9	97136851
MCM10	chr10	13203558
MIR4328	chrX	78156746
CHMP1B2P	chrX	79590817
ARR3	chrX	69488184
MIR548I4	chrX	83480836
UBE2DNL	chrX	84189157
PCDHB4	chr5	140501400
EXOSC4	chr8	145133575
LOC101928128	chrX	84465712
MIR1321	chrX	85090785
KCNMB4	chr12	70760070
HEXD	chr17	80376223
DHH	chr12	49488584
CWC22	chr2	180871833
PABPC5-AS1	chrX	90689998
POMGNT2	chr3	43147571
CIPC	chr14	77564601
MIR548M	chrX	94318225
BRDTP1	chrX	95592901
KRT6C	chr12	52867589
TRIM59	chr3	160167574
AKAP11	chr13	42846288
IPO5	chr13	98605929
RPL36A-HNRNPH2	chrX	100645999
NXF4	chrX	101804893
SOCS3	chr17	76356160
MAP3K14	chr17	43394386
LINC00630	chrX	102024081
EPHB3	chr3	184279573
LINC02589	chrX	102809881
